combination,frequency,total_amount,surgeons,avg_amount_per_case,total_item_quantity
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-12 סיכות-ETHICON (1) + מספריים מונופולר 5 מ""מ (1)",5,18371.3272,"אילן בן זאב, אלכסנדר דויטש, מרדכי שמעונוב, ראובן אליגר",3674.26544,7
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-12 סיכות-ETHICON (1) + מספריים מונופולר 5 מ""מ (1)",5,14583.8518,"אנדרוניק קפייב, מרום שראלי, ראובן אליגר",2916.77036,6
3DMAX MEDIUM 8.5X13.7-LEFT (1) + 3DMAX MEDIUM 8.5X13.7-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר ללא סכין 5 NB5STF (1) + סקשן איריגיישיין 5 (1),5,15059.6719,משה גיפס,3011.9343799999997,7
3DMAX EX.LARGE 12X17-LEFT (1) + 3DMAX EX.LARGE 12X17-RIGHT (1) + בלון דו צדדי PDBS2 (1) + שרוול אקסל OPTI-12X100 (1),5,7287.201999999999,נתן פולוקשט,1457.4404,4
PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1),5,16216.6626,"אנדרוניק קפייב, יעקב מינץ",3243.33252,5
DYNAMESH ENDOLAP 3D 10*15CM (1) + אנדו קליפ 5 176630 (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג - 15 סיכות (1) + טרוקר ללא סכין 5 NB5STF (1) + סקשן איריגיישיין 5 (1),5,14249.4704,"גילבר אוחנה, ידידיה מלכי",2849.89408,7
DYNAMESH ENDOLAP 3D 10*15CM (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר אקסל OPTI-5X100 (1) + שרוול אקסל OPTI-5X100 (1),5,6449.099999999999,בוריס קירשטיין,1289.82,5
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + GLUBRAN2-SURGICAL GLUE-1ML (1) + GLUTACK DEVICE 50 DROPS (1) + שרוול אקסל 10-11  CB11LT (1),5,11970.8247,איגור ירוחימוב,2394.1649399999997,5
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר ללא סכין 5 NB5STF (1),5,15899.268199999999,לב איטין,3179.85364,7
PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),4,7765.7618,"אמנון אבנת, ניר כהן",1941.44045,4
PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1),4,7139.6,"אורי נץ, דמיטרי גולדשטיין, יעקב מינץ",1784.9,2
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + SOL. SEPTAL SCRUB 500ML (1) + SOL.ALCOHOL+CHLORHEXIDINE 0.5L (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג - 15 סיכות (1),4,9674.6296,ראובן אליגר,2418.6574,7
DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + טאקר-10 סיכות MICROVAL (1) + שרוול אקסל 10-11  CB11LT (1),4,5874.4,"איתי זוארץ, ארז ירדן",1468.6,4
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + מספריים לאפ (1) + שרוול אקסל OPTI-5X100 (1),4,9960.1767,"עופר לנדאו, רון גרינברג",2490.044175,8
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1),4,7101.3578,עמיר סולד,1775.33945,5
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + GLUBRAN2-SURGICAL GLUE-1ML (1) + GLUTACK DEVICE 50 DROPS (1) + אנדו קליפ 5 EL5ML (1) + שרוול אקסל 10-11  CB11LT (1),4,12727.8986,איגור ירוחימוב,3181.97465,6
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל עם סכין 5 D5ST (1),4,9608.0768,עופר לנדאו,2402.0192,6
PROGRIP FLAT SHEET MESH 15X10 (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),4,6962.359,"עבד על רחמן אבו גנים, שאדי  אבו סויס",1740.58975,5
PROGRIP FLAT SHEET MESH 15X10 (1) + SOL. SEPTOL 500ML (1) + טרוקר CFF03 - 5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול לטרוקר 5 - CFS02 (1),4,4514.2446,סרגיי דומצ'יק,1128.56115,5
HAR736 -  הרמוניק 700 (1) + PROGRIP FLAT SHEET MESH 15X10 (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל OPTI-5X100 (1),4,9789.8,איגור וקסמן,2447.45,5
3DMAX LIGHT 8X 3CM - LEFT (1) + 3DMAX LIGHT 8X13CM - RIGHT (1) + בלון להרניה עגול - SMBTTRNDX (1) + טאקר נספג-25 סיכות-ETHICON (1),4,11725.534,אריה איתן,2931.3835,4
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קלינצ 5 מ''מ (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג-12 סיכות-ETHICON (1) + שרוול אקסל 10-11  CB11LT (1),4,12118.4175,"אלברט סטפנסקי, יבגני קרסיק",3029.604375,6
